t,MV,PV,DV
0.000000000000000000e+00,5.000000000000000000e+01,4.590999999999999659e+01,5.000000000000000000e+01
1.000000000000000000e+00,5.000000000000000000e+01,4.575000000000000000e+01,5.000000000000000000e+01
2.000000000000000000e+00,5.000000000000000000e+01,4.578000000000000114e+01,5.000000000000000000e+01
3.000000000000000000e+00,5.000000000000000000e+01,4.571000000000000085e+01,5.000000000000000000e+01
4.000000000000000000e+00,5.000000000000000000e+01,4.567999999999999972e+01,5.000000000000000000e+01
5.000000000000000000e+00,5.000000000000000000e+01,4.557999999999999829e+01,5.000000000000000000e+01
6.000000000000000000e+00,5.000000000000000000e+01,4.561999999999999744e+01,5.000000000000000000e+01
7.000000000000000000e+00,5.000000000000000000e+01,4.539000000000000057e+01,5.000000000000000000e+01
8.000000000000000000e+00,5.000000000000000000e+01,4.552000000000000313e+01,5.000000000000000000e+01
9.000000000000000000e+00,5.000000000000000000e+01,4.539000000000000057e+01,5.000000000000000000e+01
1.000000000000000000e+01,5.000000000000000000e+01,4.535999999999999943e+01,5.000000000000000000e+01
1.100000000000000000e+01,5.000000000000000000e+01,4.535999999999999943e+01,5.000000000000000000e+01
1.200000000000000000e+01,5.000000000000000000e+01,4.535999999999999943e+01,5.000000000000000000e+01
1.300000000000000000e+01,5.000000000000000000e+01,4.528999999999999915e+01,5.000000000000000000e+01
1.400000000000000000e+01,5.000000000000000000e+01,4.528999999999999915e+01,5.000000000000000000e+01
1.500000000000000000e+01,5.000000000000000000e+01,4.525999999999999801e+01,5.000000000000000000e+01
1.600000000000000000e+01,5.000000000000000000e+01,4.525999999999999801e+01,5.000000000000000000e+01
1.700000000000000000e+01,5.000000000000000000e+01,4.525999999999999801e+01,5.000000000000000000e+01
1.800000000000000000e+01,5.000000000000000000e+01,4.517000000000000171e+01,5.000000000000000000e+01
1.900000000000000000e+01,5.000000000000000000e+01,4.517000000000000171e+01,5.000000000000000000e+01
2.000000000000000000e+01,5.000000000000000000e+01,4.520000000000000284e+01,5.000000000000000000e+01
2.100000000000000000e+01,5.000000000000000000e+01,4.517000000000000171e+01,5.000000000000000000e+01
2.200000000000000000e+01,5.000000000000000000e+01,4.520000000000000284e+01,5.000000000000000000e+01
2.300000000000000000e+01,5.000000000000000000e+01,4.513000000000000256e+01,5.000000000000000000e+01
2.400000000000000000e+01,5.000000000000000000e+01,4.510000000000000142e+01,5.000000000000000000e+01
2.500000000000000000e+01,5.000000000000000000e+01,4.510000000000000142e+01,5.000000000000000000e+01
2.600000000000000000e+01,5.000000000000000000e+01,4.517000000000000171e+01,5.000000000000000000e+01
2.700000000000000000e+01,5.000000000000000000e+01,4.507000000000000028e+01,5.000000000000000000e+01
2.800000000000000000e+01,5.000000000000000000e+01,4.520000000000000284e+01,5.000000000000000000e+01
2.900000000000000000e+01,5.000000000000000000e+01,4.507000000000000028e+01,5.000000000000000000e+01
3.000000000000000000e+01,5.000000000000000000e+01,4.510000000000000142e+01,5.000000000000000000e+01
3.100000000000000000e+01,5.000000000000000000e+01,4.520000000000000284e+01,5.000000000000000000e+01
3.200000000000000000e+01,5.000000000000000000e+01,4.507000000000000028e+01,5.000000000000000000e+01
3.300000000000000000e+01,5.000000000000000000e+01,4.520000000000000284e+01,5.000000000000000000e+01
3.400000000000000000e+01,5.000000000000000000e+01,4.522999999999999687e+01,5.000000000000000000e+01
3.500000000000000000e+01,5.000000000000000000e+01,4.520000000000000284e+01,5.000000000000000000e+01
3.600000000000000000e+01,5.000000000000000000e+01,4.528999999999999915e+01,5.000000000000000000e+01
3.700000000000000000e+01,5.000000000000000000e+01,4.522999999999999687e+01,5.000000000000000000e+01
3.800000000000000000e+01,5.000000000000000000e+01,4.535999999999999943e+01,5.000000000000000000e+01
3.900000000000000000e+01,5.000000000000000000e+01,4.525999999999999801e+01,5.000000000000000000e+01
4.000000000000000000e+01,5.000000000000000000e+01,4.539000000000000057e+01,5.000000000000000000e+01
4.100000000000000000e+01,5.000000000000000000e+01,4.539000000000000057e+01,5.000000000000000000e+01
4.200000000000000000e+01,5.000000000000000000e+01,4.542000000000000171e+01,5.000000000000000000e+01
4.300000000000000000e+01,5.000000000000000000e+01,4.539000000000000057e+01,5.000000000000000000e+01
4.400000000000000000e+01,5.000000000000000000e+01,4.552000000000000313e+01,5.000000000000000000e+01
4.500000000000000000e+01,5.000000000000000000e+01,4.549000000000000199e+01,5.000000000000000000e+01
4.600000000000000000e+01,5.000000000000000000e+01,4.561999999999999744e+01,5.000000000000000000e+01
4.700000000000000000e+01,5.000000000000000000e+01,4.546000000000000085e+01,5.000000000000000000e+01
4.800000000000000000e+01,5.000000000000000000e+01,4.571000000000000085e+01,5.000000000000000000e+01
4.900000000000000000e+01,5.000000000000000000e+01,4.567999999999999972e+01,5.000000000000000000e+01
5.000000000000000000e+01,5.000000000000000000e+01,4.571000000000000085e+01,5.000000000000000000e+01
5.100000000000000000e+01,5.000000000000000000e+01,4.578000000000000114e+01,5.000000000000000000e+01
5.200000000000000000e+01,5.000000000000000000e+01,4.581000000000000227e+01,5.000000000000000000e+01
5.300000000000000000e+01,5.000000000000000000e+01,4.571000000000000085e+01,5.000000000000000000e+01
5.400000000000000000e+01,5.000000000000000000e+01,4.584000000000000341e+01,5.000000000000000000e+01
5.500000000000000000e+01,5.000000000000000000e+01,4.575000000000000000e+01,5.000000000000000000e+01
5.600000000000000000e+01,5.000000000000000000e+01,4.600000000000000000e+01,5.000000000000000000e+01
5.700000000000000000e+01,5.000000000000000000e+01,4.586999999999999744e+01,5.000000000000000000e+01
5.800000000000000000e+01,5.000000000000000000e+01,4.603999999999999915e+01,5.000000000000000000e+01
5.900000000000000000e+01,5.000000000000000000e+01,4.603999999999999915e+01,5.000000000000000000e+01
6.000000000000000000e+01,5.000000000000000000e+01,4.603999999999999915e+01,5.000000000000000000e+01
6.100000000000000000e+01,5.000000000000000000e+01,4.610000000000000142e+01,5.000000000000000000e+01
6.200000000000000000e+01,5.000000000000000000e+01,4.610000000000000142e+01,5.000000000000000000e+01
6.300000000000000000e+01,5.000000000000000000e+01,4.622999999999999687e+01,5.000000000000000000e+01
6.400000000000000000e+01,5.000000000000000000e+01,4.628999999999999915e+01,5.000000000000000000e+01
6.500000000000000000e+01,5.000000000000000000e+01,4.613000000000000256e+01,5.000000000000000000e+01
6.600000000000000000e+01,5.000000000000000000e+01,4.632999999999999829e+01,5.000000000000000000e+01
6.700000000000000000e+01,5.000000000000000000e+01,4.632999999999999829e+01,5.000000000000000000e+01
6.800000000000000000e+01,5.000000000000000000e+01,4.639000000000000057e+01,5.000000000000000000e+01
6.900000000000000000e+01,5.000000000000000000e+01,4.639000000000000057e+01,5.000000000000000000e+01
7.000000000000000000e+01,5.000000000000000000e+01,4.645000000000000284e+01,5.000000000000000000e+01
7.100000000000000000e+01,5.000000000000000000e+01,4.649000000000000199e+01,5.000000000000000000e+01
7.200000000000000000e+01,5.000000000000000000e+01,4.661999999999999744e+01,5.000000000000000000e+01
7.300000000000000000e+01,5.000000000000000000e+01,4.664999999999999858e+01,5.000000000000000000e+01
7.400000000000000000e+01,5.000000000000000000e+01,4.671000000000000085e+01,5.000000000000000000e+01
7.500000000000000000e+01,5.000000000000000000e+01,4.667999999999999972e+01,5.000000000000000000e+01
7.600000000000000000e+01,5.000000000000000000e+01,4.667999999999999972e+01,5.000000000000000000e+01
7.700000000000000000e+01,5.000000000000000000e+01,4.681000000000000227e+01,5.000000000000000000e+01
7.800000000000000000e+01,5.000000000000000000e+01,4.674000000000000199e+01,5.000000000000000000e+01
7.900000000000000000e+01,5.000000000000000000e+01,4.690999999999999659e+01,5.000000000000000000e+01
8.000000000000000000e+01,5.000000000000000000e+01,4.700000000000000000e+01,5.000000000000000000e+01
8.100000000000000000e+01,5.000000000000000000e+01,4.700000000000000000e+01,5.000000000000000000e+01
8.200000000000000000e+01,5.000000000000000000e+01,4.703000000000000114e+01,5.000000000000000000e+01
8.300000000000000000e+01,5.000000000000000000e+01,4.700000000000000000e+01,5.000000000000000000e+01
8.400000000000000000e+01,5.000000000000000000e+01,4.710000000000000142e+01,5.000000000000000000e+01
8.500000000000000000e+01,5.000000000000000000e+01,4.713000000000000256e+01,5.000000000000000000e+01
8.600000000000000000e+01,5.000000000000000000e+01,4.713000000000000256e+01,5.000000000000000000e+01
8.700000000000000000e+01,5.000000000000000000e+01,4.728999999999999915e+01,5.000000000000000000e+01
8.800000000000000000e+01,5.000000000000000000e+01,4.728999999999999915e+01,5.000000000000000000e+01
